Day,Old Testament,New Testament
354,"Habakkuk 3 - Zephaniah 1","Acts 5"
355,"Zephaniah 2-3","Acts 6"
356,"Haggai 1-2","Acts 7"
357,"Zechariah 1-2","Acts 8"
358,"Zechariah 3-4","Acts 9"
359,"Zechariah 5-6","Acts 10"
360,"Zechariah 7-8","Acts 11"
361,"Zechariah 9-10","Acts 12"
362,"Zechariah 11-12","Acts 13"
363,"Zechariah 13-14","Acts 14"
364,"Malachi 1-2","Acts 15"
365,"Malachi 3-4","Acts 16"
